,file,not_plane,plane_common,plane_large,plane_with_trail,plane_too_far,plane_partial,helicopter,something_strange
0,0.jpg,0,0,0,1,0,0,0,0
1,1.jpg,1,0,0,1,0,0,0,0
2,2.jpg,0,0,0,2,0,0,0,0
3,3.jpg,0,0,0,2,0,0,0,0
4,4.jpg,0,0,0,1,0,0,0,0
5,5.jpg,0,0,0,2,0,0,0,0
6,6.jpg,0,0,0,2,0,0,0,0
7,7.jpg,0,0,0,1,0,0,0,0
8,8.jpg,0,0,0,3,0,0,0,0
9,9.jpg,0,0,0,3,0,0,0,0
10,10.jpg,0,0,0,1,0,0,0,0
11,11.jpg,0,0,0,1,1,0,0,0
12,12.jpg,0,0,0,2,0,0,0,0
13,13.jpg,0,0,0,1,1,0,0,0
14,14.jpg,0,0,0,0,1,0,0,0
15,15.jpg,0,0,0,0,0,0,2,0
16,16.jpg,0,0,0,2,0,0,0,0
17,17.jpg,0,0,0,2,0,0,0,0
18,18.jpg,0,0,0,2,0,0,0,0
19,19.jpg,0,0,0,0,1,0,0,0
20,20.jpg,2,0,0,0,0,0,0,0
21,21.jpg,2,0,0,0,0,0,0,0
22,22.jpg,0,0,0,1,0,0,0,0
23,23.jpg,0,0,0,2,0,0,0,0
24,24.jpg,0,0,0,0,2,0,0,0
25,25.jpg,0,0,0,2,0,0,0,0
26,26.jpg,1,0,0,0,0,0,0,1
27,27.jpg,0,0,0,2,0,0,0,0
28,28.jpg,0,0,0,2,0,0,0,0
29,29.jpg,0,0,0,2,0,0,0,0
30,30.jpg,2,0,0,0,0,0,0,0
31,31.jpg,1,0,0,0,0,0,0,0
32,32.jpg,0,1,0,0,0,0,0,0
33,33.jpg,1,1,0,0,0,0,0,0
34,34.jpg,0,0,0,2,0,0,0,0
35,35.jpg,1,0,0,0,1,0,0,0
36,36.jpg,0,0,0,0,2,0,0,0
37,37.jpg,0,0,0,1,0,0,0,0
38,38.jpg,0,0,0,1,0,0,0,0
39,39.jpg,1,0,0,0,0,0,0,0
40,40.jpg,0,0,0,0,1,0,0,0
41,41.jpg,0,0,0,1,0,0,0,0
42,42.jpg,2,0,0,0,0,0,0,0
43,43.jpg,0,0,0,2,0,0,0,0
44,44.jpg,0,0,0,3,0,0,0,0
45,45.jpg,0,1,0,0,0,0,0,0
46,46.jpg,0,0,0,2,0,0,0,0
47,47.jpg,2,0,0,0,0,0,0,0
48,48.jpg,0,0,0,2,0,0,0,0
49,49.jpg,0,0,0,1,0,0,0,0
50,50.jpg,0,1,0,0,0,0,0,0
51,51.jpg,0,0,0,1,0,0,0,0
52,52.jpg,1,0,0,1,0,0,0,0
53,53.jpg,0,0,0,2,0,0,0,0
54,54.jpg,0,0,0,0,1,0,0,0
55,55.jpg,0,0,0,2,0,0,0,0
56,56.jpg,0,0,0,1,0,0,0,0
57,57.jpg,0,0,0,0,1,0,0,0
58,58.jpg,0,0,0,1,0,0,0,0
59,59.jpg,1,0,0,0,0,0,0,0
60,60.jpg,0,0,0,2,0,0,0,0
61,61.jpg,0,0,0,1,0,0,0,0
62,62.jpg,0,0,0,1,0,0,0,0
63,63.jpg,0,0,0,0,1,0,0,0
64,64.jpg,1,0,0,0,0,0,0,0
65,65.jpg,0,0,0,1,0,0,0,0
66,66.jpg,0,0,0,1,0,0,0,0
67,67.jpg,0,0,0,1,0,0,0,0
68,68.jpg,0,0,0,1,0,0,0,0
69,69.jpg,1,0,0,0,0,0,0,0
70,70.jpg,0,1,0,0,0,0,0,0
71,71.jpg,2,0,0,0,0,0,0,0
72,72.jpg,0,0,0,3,0,0,0,0
73,73.jpg,0,0,0,2,0,0,0,0
74,74.jpg,1,0,0,0,0,0,0,0
75,75.jpg,2,0,0,0,0,0,0,0
76,76.jpg,0,0,0,1,0,0,0,0
77,77.jpg,0,0,0,2,0,0,0,0
78,78.jpg,1,1,0,0,0,0,0,0
79,79.jpg,1,0,0,0,0,0,0,1
80,80.jpg,0,0,0,2,0,0,0,0
81,81.jpg,0,0,0,0,1,0,0,0
82,82.jpg,0,0,0,3,0,0,0,0
83,83.jpg,0,0,0,0,1,0,0,0
84,84.jpg,0,2,0,0,0,0,0,0
85,85.jpg,0,0,0,1,0,0,0,0
86,86.jpg,1,0,0,0,0,0,0,0
87,87.jpg,0,0,0,1,0,0,0,0
88,88.jpg,1,0,0,0,0,0,0,0
89,89.jpg,1,1,0,0,0,0,1,0
90,90.jpg,2,0,0,0,0,0,0,0
91,91.jpg,2,0,0,0,0,0,0,0
92,92.jpg,0,0,0,1,0,0,0,0
93,93.jpg,0,0,0,0,1,0,0,0
94,94.jpg,2,0,0,0,0,0,0,0
95,95.jpg,1,1,0,0,0,0,0,0
96,96.jpg,2,0,0,0,0,0,0,0
97,97.jpg,0,1,0,0,1,0,0,0
98,98.jpg,0,0,0,2,0,0,0,0
99,99.jpg,0,0,0,2,0,0,0,0
100,100.jpg,1,0,0,0,0,0,0,0
101,101.jpg,0,0,0,1,0,0,0,0
102,102.jpg,0,0,0,2,0,0,0,0
103,103.jpg,1,0,0,0,0,0,0,1
104,104.jpg,0,0,0,3,0,0,0,0
105,105.jpg,0,0,0,1,0,0,0,0
106,106.jpg,0,0,0,2,0,0,0,0
107,107.jpg,0,0,0,0,2,0,0,0
108,108.jpg,0,0,0,0,2,0,0,0
109,109.jpg,0,2,0,0,0,0,0,0
110,110.jpg,0,1,0,0,0,0,0,0
111,111.jpg,0,0,0,0,1,0,0,0
112,112.jpg,0,0,0,2,0,0,0,0
113,113.jpg,0,0,0,1,0,0,0,0
114,114.jpg,0,0,0,2,0,0,0,0
115,115.jpg,0,0,0,0,1,0,0,0
116,116.jpg,0,0,0,1,0,0,0,0
117,117.jpg,0,0,0,1,0,0,0,0
118,118.jpg,0,0,0,2,0,0,0,0
119,119.jpg,2,0,0,0,0,0,0,0
120,120.jpg,0,0,0,0,1,0,0,0
121,121.jpg,1,0,0,1,0,0,0,0
122,122.jpg,0,0,0,1,0,0,0,0
123,123.jpg,0,0,0,1,0,0,0,0
124,124.jpg,0,0,0,2,0,0,0,0
125,125.jpg,0,0,0,1,0,0,0,0
126,126.jpg,0,0,0,0,1,0,0,0
127,127.jpg,0,0,0,1,0,0,0,0
128,128.jpg,0,0,0,0,1,0,0,0
129,129.jpg,0,0,0,0,1,0,0,0
130,130.jpg,0,0,0,0,1,0,0,0
131,131.jpg,1,0,0,0,0,0,0,0
132,132.jpg,0,0,0,1,0,0,0,0
133,133.jpg,0,0,0,0,1,0,0,0
134,134.jpg,0,0,0,1,0,0,0,0
135,135.jpg,0,0,0,1,0,0,0,0
136,136.jpg,0,0,0,1,0,0,0,0
137,137.jpg,0,1,0,0,1,0,0,0
138,138.jpg,0,0,0,0,1,0,0,0
139,139.jpg,0,0,0,1,0,0,0,0
140,140.jpg,0,0,0,1,0,0,0,0
141,141.jpg,0,0,0,1,0,0,0,0
142,142.jpg,0,0,0,1,0,0,0,0
143,143.jpg,0,0,0,2,0,0,0,0
144,144.jpg,0,0,0,2,0,0,0,0
145,145.jpg,0,0,0,1,0,0,0,0
146,146.jpg,2,0,0,0,0,0,0,0
147,147.jpg,0,0,0,3,0,0,0,0
148,148.jpg,0,0,0,1,0,0,0,1
149,149.jpg,1,0,0,0,0,0,0,0
150,150.jpg,0,2,0,0,1,0,0,0
151,151.jpg,0,0,0,2,0,0,0,0
152,152.jpg,0,0,0,2,0,0,0,0
153,153.jpg,0,0,0,0,2,0,0,0
154,154.jpg,0,0,0,3,0,0,0,0
155,155.jpg,1,0,0,0,0,0,0,0
156,156.jpg,0,0,0,2,1,0,0,0
157,157.jpg,0,0,0,1,0,0,0,0
158,158.jpg,0,0,0,1,0,0,0,0
159,159.jpg,1,0,0,0,0,0,0,0
160,160.jpg,0,0,0,1,0,0,0,0
161,161.jpg,0,0,0,1,0,0,0,0
162,162.jpg,0,0,0,1,0,0,0,0
163,163.jpg,0,0,0,0,1,0,0,0
164,164.jpg,0,0,0,0,1,0,0,0
165,165.jpg,0,2,0,0,0,0,0,0
166,166.jpg,0,0,0,2,0,0,0,0
167,167.jpg,0,1,0,0,1,0,0,0
168,168.jpg,0,0,0,1,0,0,0,0
169,169.jpg,1,0,0,0,0,0,0,0
170,170.jpg,0,0,0,2,0,0,0,0
171,171.jpg,0,0,0,1,0,0,0,0
172,172.jpg,0,0,0,2,0,0,0,0
173,173.jpg,0,0,0,1,0,0,0,0
174,174.jpg,0,0,0,2,0,0,0,0
175,175.jpg,0,0,0,1,0,0,0,0
176,176.jpg,0,0,0,1,0,0,0,0
177,177.jpg,0,0,0,1,0,0,0,0
178,178.jpg,0,0,0,2,0,0,0,0
179,179.jpg,0,0,0,2,0,0,0,0
180,180.jpg,0,0,0,0,1,0,0,0
181,181.jpg,2,0,0,0,0,0,0,0
182,182.jpg,0,0,0,1,0,0,0,0
183,183.jpg,1,0,0,1,0,0,0,0
184,184.jpg,2,0,0,0,0,0,0,0
185,185.jpg,0,1,0,0,0,0,0,0
186,186.jpg,0,0,0,1,0,0,0,0
187,187.jpg,0,0,0,1,0,0,0,0
188,188.jpg,0,0,0,3,0,0,0,0
189,189.jpg,2,0,0,0,0,0,0,0
190,190.jpg,0,1,0,0,0,0,0,0
191,191.jpg,0,0,0,2,0,0,0,0
192,192.jpg,0,0,0,1,0,0,0,0
193,193.jpg,0,0,0,0,1,0,0,0
194,194.jpg,0,0,0,0,2,0,0,0
195,195.jpg,0,0,0,1,0,0,0,0
196,196.jpg,0,1,0,0,0,0,0,0
197,197.jpg,0,0,0,0,1,0,0,0
198,198.jpg,0,0,0,2,0,0,0,0
199,199.jpg,0,0,0,1,0,0,0,0
200,200.jpg,0,0,0,1,0,0,0,0
201,201.jpg,0,0,0,1,0,0,0,0
202,202.jpg,0,0,0,3,0,0,0,0
203,203.jpg,2,0,0,0,0,0,0,0
204,204.jpg,0,1,0,0,1,0,0,0
205,205.jpg,1,0,0,0,0,0,0,0
206,206.jpg,0,0,0,1,0,0,0,0
207,207.jpg,1,0,0,0,0,0,0,0
208,208.jpg,0,0,0,0,1,0,0,0
209,209.jpg,1,0,0,0,0,0,0,0
210,210.jpg,0,0,0,1,0,0,0,0
211,211.jpg,0,0,0,1,0,0,0,0
212,212.jpg,0,0,0,1,0,0,0,0
213,213.jpg,0,0,0,0,1,0,0,0
214,214.jpg,0,0,0,1,0,0,0,0
215,215.jpg,0,0,0,2,0,0,0,0
216,216.jpg,0,0,0,1,0,0,0,0
217,217.jpg,0,0,0,1,0,0,0,0
218,218.jpg,0,1,0,0,0,0,0,0
219,219.jpg,0,0,0,2,0,0,0,0
220,220.jpg,0,0,0,2,0,0,0,0
221,221.jpg,0,0,0,0,1,0,0,0
222,222.jpg,0,0,0,2,0,0,0,0
223,223.jpg,0,0,0,1,0,0,0,0
224,224.jpg,2,0,0,0,0,0,0,0
225,225.jpg,1,0,0,0,0,0,0,0
226,226.jpg,2,0,0,0,1,0,0,0
227,227.jpg,0,0,0,1,0,0,0,0
228,228.jpg,1,0,0,0,0,0,0,0
229,229.jpg,0,0,0,2,0,0,0,0
230,230.jpg,0,0,0,1,0,0,0,0
231,231.jpg,1,0,0,0,0,0,0,1
232,232.jpg,0,0,0,2,0,0,0,0
233,233.jpg,3,0,0,0,0,0,0,0
234,234.jpg,2,0,0,0,0,0,0,0
235,235.jpg,0,0,0,3,0,0,0,0
236,236.jpg,2,0,0,0,0,0,0,0
237,237.jpg,0,0,0,2,0,0,0,0
